land_area_hectares,affected_families,compensation_assessed_crores,compensation_ratio,litigation_cases_count,statutory_months,rr_settled_ratio,is_linear_project,high_litigation_state,historical_dispute_index,risk_score,is_delayed
1334.0,5926,3167.0,0.9631,14,18.0,0.95,0,1,0.124,32.0,0
502.6,2232,1193.3,0.9502,17,19.3,0.9168,0,1,0.271,37.9,0
771.6,3427,1831.8,0.9117,23,17.8,0.8882,0,1,0.395,41.1,0
1182.4,5252,2807.1,0.8989,25,17.5,0.8788,0,1,0.15,42.6,0
656.1,2914,1557.7,0.9823,12,18.9,0.9405,0,1,0.23,31.7,0
836.4,3715,1985.6,0.886,27,19.1,0.8692,0,1,0.274,48.1,0
606.4,2693,1439.5,0.9117,23,17.0,0.8882,0,1,0.246,39.5,0
1791.5,7958,4253.2,0.9759,13,18.4,0.9358,0,1,0.393,31.7,0
502.4,2231,1192.7,0.99,10,18.7,0.95,0,1,0.23,29.3,0
700.9,3113,1663.9,0.9631,15,18.3,0.9263,0,1,0.289,33.6,0
597.7,2655,1419.0,0.9695,14,18.7,0.931,0,1,0.123,33.4,0
1526.4,6780,3623.8,0.9823,12,18.3,0.9405,0,1,0.384,30.4,0
2294.7,10193,5447.7,0.886,27,19.2,0.8692,0,1,0.14,48.4,0
922.0,4095,2188.9,0.9181,22,18.7,0.893,0,1,0.281,42.0,0
1102.9,4899,2618.4,0.9759,13,17.5,0.9358,0,1,0.246,29.8,0
1213.9,5392,2882.0,0.886,27,18.7,0.8692,0,1,0.309,47.3,0
487.8,2166,1158.0,0.99,9,18.3,0.9548,0,1,0.165,27.6,0
864.6,3840,2052.7,0.9887,11,18.8,0.9452,0,1,0.3,30.4,0
672.9,2989,1597.5,0.9887,11,18.8,0.9452,0,1,0.387,30.4,0
1166.7,5182,2769.9,0.9695,14,18.8,0.931,0,1,0.168,33.6,0
1072.7,4765,2546.6,0.9887,11,18.4,0.9452,0,1,0.268,29.5,0
2356.4,10467,5594.3,0.9245,21,18.8,0.8978,0,1,0.292,41.1,0
1883.9,8368,4472.5,0.9631,15,18.1,0.9263,0,1,0.264,33.2,0
1709.2,7592,4057.7,0.886,27,19.1,0.8692,0,1,0.273,48.1,0
1978.6,8789,4697.3,0.99,10,19.3,0.95,0,1,0.321,30.6,0
1983.7,8812,4709.3,0.99,9,19.4,0.9548,0,1,0.351,29.9,0
1434.3,6371,3405.1,0.9695,14,19.5,0.931,0,1,0.141,35.1,0
1842.3,8184,4373.8,0.9887,11,19.0,0.9452,0,1,0.305,30.8,0
1107.6,4920,2629.6,0.9759,13,19.1,0.9358,0,1,0.296,33.2,0
2205.5,9797,5236.0,0.99,10,18.5,0.95,0,1,0.227,28.9,0
1663.5,7389,3949.3,0.9245,21,18.2,0.8978,0,1,0.35,39.9,0
885.7,3934,2102.7,0.8924,26,17.8,0.874,0,1,0.22,44.3,0
1924.9,8550,4569.8,0.99,7,18.8,0.9643,0,1,0.167,27.0,0
1833.6,8145,4353.0,0.9502,17,18.8,0.9168,0,1,0.249,36.8,0
738.5,3280,1753.3,0.9181,22,17.2,0.893,0,1,0.255,38.9,0
1543.1,6854,3663.4,0.9181,22,18.8,0.893,0,1,0.137,42.2,0
1766.4,7846,4193.6,0.9759,13,18.9,0.9358,0,1,0.357,32.8,0
1307.0,5806,3103.0,0.99,10,19.0,0.95,0,1,0.182,30.0,0
777.1,3452,1845.0,0.99,7,17.5,0.9643,0,1,0.238,24.3,0
1529.6,6794,3631.4,0.99,8,17.5,0.9595,0,1,0.122,25.1,0
1361.3,6047,3231.9,0.9887,11,17.9,0.9452,0,1,0.216,28.5,0
820.0,2450,1820.0,0.9231,32,24.0,0.89,1,1,0.82,58.4,1
1060.5,3168,2353.7,0.7262,47,30.7,0.7254,1,1,0.946,70.8,1
1020.5,3049,2265.0,0.7385,45,28.6,0.7343,1,1,0.988,68.9,1
1257.1,3756,2790.2,0.8185,32,30.1,0.7921,1,1,0.768,64.8,1
400.9,1197,889.8,0.7077,50,28.0,0.712,1,1,0.837,70.0,1
1328.2,3968,2947.9,0.72,48,26.7,0.7209,1,1,0.832,68.6,1
490.5,1465,1088.7,0.9108,17,32.2,0.8589,1,1,0.749,50.3,1
986.1,2946,2188.6,0.7385,45,26.8,0.7343,1,1,0.796,67.7,1
1024.0,3059,2272.9,0.6338,62,32.6,0.6586,1,1,0.844,76.5,1
1267.5,3787,2813.3,0.8123,33,25.3,0.7877,1,1,0.346,62.9,0
418.0,1248,927.7,0.8985,19,28.0,0.85,1,1,0.765,49.8,1
1294.1,3866,2872.2,0.9108,17,24.9,0.8589,1,1,0.4,45.7,0
989.3,2955,2195.9,0.8369,29,31.0,0.8054,1,1,0.881,62.2,1
471.0,1407,1045.3,0.8185,32,32.6,0.7921,1,1,0.714,66.4,1
317.8,949,705.5,0.64,61,28.2,0.6631,1,1,0.859,73.5,1
274.3,819,608.9,0.9046,18,30.2,0.8544,1,1,0.732,50.2,1
1077.3,3218,2391.1,0.8492,27,28.2,0.8144,1,1,0.928,58.3,1
